time_taipei,messages,active_chats
2026-05-19 17:15,30,6
2026-05-19 17:20,34,6
2026-05-19 17:35,11,3
2026-05-19 17:40,25,8
2026-05-19 17:45,4,2
2026-05-19 17:50,18,5
2026-05-19 17:55,22,5
2026-05-19 18:00,13,2
2026-05-19 18:05,15,5
2026-05-19 18:10,16,5
2026-05-19 18:15,14,4
2026-05-19 18:20,24,7
2026-05-19 18:25,17,5
2026-05-19 18:30,6,1
2026-05-19 18:35,14,4
2026-05-19 18:40,15,4
2026-05-19 18:45,20,6
2026-05-19 18:50,13,4
2026-05-19 18:55,10,4
2026-05-19 19:00,15,6
2026-05-19 19:05,15,4
2026-05-19 19:10,17,3
2026-05-19 19:15,8,3
2026-05-19 19:20,19,4
2026-05-19 19:25,15,7
2026-05-19 19:30,38,11
2026-05-19 19:35,24,6
2026-05-19 19:40,14,5
2026-05-19 19:45,1,1
2026-05-19 19:50,28,9
2026-05-19 19:55,23,7
2026-05-19 20:00,20,6
2026-05-19 20:05,14,5
2026-05-19 20:10,14,7
2026-05-19 20:15,12,4
2026-05-19 20:20,37,9
2026-05-19 20:25,11,3
2026-05-19 20:30,17,6
2026-05-19 20:35,18,4
2026-05-19 20:40,27,9
2026-05-19 20:45,15,3
2026-05-19 20:50,19,5
2026-05-19 20:55,24,7
2026-05-19 21:00,26,9
2026-05-19 21:05,8,4
2026-05-19 21:10,13,5
2026-05-19 21:15,27,6
2026-05-19 21:20,24,8
2026-05-19 21:25,15,5
2026-05-19 21:30,13,4
2026-05-19 21:35,14,4
2026-05-19 21:40,41,9
2026-05-19 21:45,32,8
2026-05-19 21:50,17,3
2026-05-19 21:55,12,4
2026-05-19 22:00,12,3
2026-05-19 22:05,20,4
2026-05-19 22:10,4,2
2026-05-19 22:15,27,6
2026-05-19 22:20,30,7
2026-05-19 22:25,26,6
2026-05-19 22:30,33,6
2026-05-19 22:35,29,8
2026-05-19 22:40,29,9
2026-05-19 22:45,24,7
2026-05-19 22:50,13,5
2026-05-19 22:55,15,8
2026-05-19 23:00,10,4
2026-05-19 23:05,31,9
2026-05-19 23:10,35,8
2026-05-19 23:15,16,3
2026-05-19 23:20,23,7
2026-05-19 23:25,27,6
2026-05-19 23:30,37,12
2026-05-19 23:35,107,22
2026-05-19 23:40,71,18
2026-05-19 23:45,76,22
2026-05-19 23:50,133,40
2026-05-19 23:55,733,139
2026-05-20 00:00,16249,351
2026-05-20 00:05,8817,244
2026-05-20 00:10,4341,168
2026-05-20 00:15,2956,123
2026-05-20 00:20,1829,105
2026-05-20 00:25,1368,65
2026-05-20 00:30,434,55
2026-05-20 00:35,272,57
2026-05-20 00:40,193,42
2026-05-20 00:45,144,28
2026-05-20 00:50,82,19
2026-05-20 00:55,50,9
